Fecha,Caudal,Estado
2024-10-28 10:25:00,0,
2024-10-28 10:30:00,0,
2024-10-28 10:35:00,0,
2024-10-28 10:40:00,0,
2024-10-28 10:45:00,0,
2024-10-28 10:50:00,0,
2024-10-28 10:55:00,0,
2024-10-28 11:00:00,0,
2024-10-28 11:05:00,0,
2024-10-28 11:10:00,0,
2024-10-28 11:15:00,0,
2024-10-28 11:20:00,0,
2024-10-28 11:25:00,0,
2024-10-28 11:30:00,0,
2024-10-28 11:35:00,0,
2024-10-28 11:40:00,0,
2024-10-28 11:45:00,0,
2024-10-28 11:50:00,0,
2024-10-28 11:55:00,0,
2024-10-28 12:00:00,0,
2024-10-28 12:05:00,0,
2024-10-28 12:10:00,0,
2024-10-28 12:15:00,0,
2024-10-28 12:20:00,0,
2024-10-28 12:25:00,0,
2024-10-28 12:30:00,0,
2024-10-28 12:35:00,0,
2024-10-28 12:40:00,0,
2024-10-28 12:45:00,0,
2024-10-28 12:50:00,0,
2024-10-28 12:55:00,0,
2024-10-28 13:00:00,0,
2024-10-28 13:05:00,0,
2024-10-28 13:10:00,0,
2024-10-28 13:15:00,0,
2024-10-28 13:20:00,0,
2024-10-28 13:25:00,0,
2024-10-28 13:30:00,0,
2024-10-28 13:35:00,0,
2024-10-28 13:40:00,0,
2024-10-28 13:45:00,0,
2024-10-28 13:50:00,0,
2024-10-28 13:55:00,0,
2024-10-28 14:00:00,0,
2024-10-28 14:05:00,0,
2024-10-28 14:10:00,0,
2024-10-28 14:15:00,0,
2024-10-28 14:20:00,0,
2024-10-28 14:25:00,0,
2024-10-28 14:30:00,0,
2024-10-28 14:35:00,0,
2024-10-28 14:40:00,0,
2024-10-28 14:45:00,0,
2024-10-28 14:50:00,0,
2024-10-28 14:55:00,0,
2024-10-28 15:00:00,0,
2024-10-28 15:05:00,0,
2024-10-28 15:10:00,0,
2024-10-28 15:15:00,0,
2024-10-28 15:20:00,0,
2024-10-28 15:25:00,0,
2024-10-28 15:30:00,0,
